variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_clear_creek_wtp_to_a_02_pa,a_02_pa,cvp_total,cvp_total,FALSE,TRUE,A_02_PA,Clear Creek WTP,cvp,Supply and Resources\Transmission Links\to A_02_PA\from Clear Creek WTP: Flow,March,February,1
transmission_link_from_sacramento_river_rm_296_to_a_02_sa,a_02_sa,cvp_total,cvp_total,FALSE,TRUE,A_02_SA,Sacramento River RM 296,cvp,Supply and Resources\Transmission Links\to A_02_SA\from Sacramento River RM 296: Flow,April,October,1
transmission_link_from_bella_vista_pipeline_to_a_03_pa,a_03_pa,cvp_total,cvp_total,FALSE,TRUE,A_03_PA,Bella Vista Pipeline,cvp,Supply and Resources\Transmission Links\to A_03_PA\from Bella Vista Pipeline: Flow,March,February,1
transmission_link_from_sacramento_river_rm_289_to_a_03_sa,a_03_sa,cvp_total,cvp_total,FALSE,TRUE,A_03_SA,Sacramento River RM 289,cvp,Supply and Resources\Transmission Links\to A_03_SA\from Sacramento River RM 289: Flow,April,October,1
transmission_link_from_tehama_colusa_canal_cm_001_to_a_04_06_pa1,a_04_06_pa1,cvp_total,cvp_total,FALSE,TRUE,A_04_06_PA1,Tehama Colusa Canal CM 001,cvp,Supply and Resources\Transmission Links\to A_04_06_PA1\from Tehama Colusa Canal CM 001: Flow,March,February,1
transmission_link_from_tehama_colusa_canal_cm_022_to_a_04_06_pa2,a_04_06_pa2,cvp_total,cvp_total,FALSE,TRUE,A_04_06_PA2,Tehama Colusa Canal CM 022,cvp,Supply and Resources\Transmission Links\to A_04_06_PA2\from Tehama Colusa Canal CM 022: Flow,March,February,1
transmission_link_from_tehama_colusa_canal_cm_081_to_a_07_pa,a_07_pa,cvp_total,cvp_total,FALSE,TRUE,A_07_PA,Tehama Colusa Canal CM 081,cvp,Supply and Resources\Transmission Links\to A_07_PA\from Tehama Colusa Canal CM 081: Flow,March,February,1
transmission_link_from_colusa_basin_drainage_canal_cm_028_to_a_08_pa,a_08_pa,cvp_total,cvp_total,FALSE,TRUE,A_08_PA,Colusa Basin Drainage Canal CM 028,cvp,Supply and Resources\Transmission Links\to A_08_PA\from Colusa Basin Drainage Canal CM 028: Flow,March,February,1
transmission_link_from_colusa_basin_drainage_canal_cm_049_to_a_08_sa1,a_08_sa1,cvp_total,cvp_total,FALSE,TRUE,A_08_SA1,Colusa Basin Drainage Canal CM 049,cvp,Supply and Resources\Transmission Links\to A_08_SA1\from Colusa Basin Drainage Canal CM 049: Flow,April,October,1
transmission_link_from_sacramento_river_rm_159_to_a_08_sa1,a_08_sa1,cvp_total,cvp_total,FALSE,TRUE,A_08_SA1,Sacramento River RM 159,cvp,Supply and Resources\Transmission Links\to A_08_SA1\from Sacramento River RM 159: Flow,April,October,1
